event_id,gorilla_id,event_date,group_id,illness_type,severity,days_ill,recovered,veterinary_treated,transmission_source,n_sym_tourists_in_window,days_since_earliest_exposure,max_severity_score,tourism_proximate,max_severity_in_window,linkage_confidence,attributed_source,age_category,immunocompromised
GHE-00019,G-0001,2015-10-16,Susa,respiratory,mild,6,1,0,background_seasonal,7,4.0,2,True,moderate,0.98,tourism_attributed,silverback,False
GHE-00020,G-0001,2015-11-20,Susa,respiratory,severe,31,1,1,tourism_linked,4,7.0,2,True,moderate,0.88,tourism_attributed,silverback,False
GHE-00021,G-0001,2015-11-18,Susa,respiratory,mild,3,1,0,background_seasonal,4,5.0,2,True,moderate,0.88,tourism_attributed,silverback,False
GHE-00022,G-0001,2015-11-23,Susa,respiratory,mild,6,1,0,background_seasonal,5,2.0,2,True,moderate,1.0,tourism_attributed,silverback,False
GHE-00023,G-0001,2015-12-25,Susa,dermatological,moderate,9,1,1,background_seasonal,4,1.0,1,True,mild,0.87,tourism_attributed,silverback,False
GHE-00024,G-0001,2016-01-08,Susa,respiratory,moderate,11,1,1,background_seasonal,9,1.0,3,True,severe,1.0,tourism_attributed,silverback,False
GHE-00025,G-0001,2016-01-07,Susa,gastrointestinal,moderate,16,1,1,background_seasonal,10,0.0,3,True,severe,1.0,tourism_attributed,silverback,False
GHE-00026,G-0001,2016-01-14,Susa,dermatological,moderate,10,1,1,background_seasonal,6,5.0,2,True,moderate,0.98,tourism_attributed,silverback,False
GHE-00027,G-0001,2016-01-20,Susa,gastrointestinal,mild,5,1,0,background_seasonal,3,2.0,2,True,moderate,0.82,tourism_attributed,silverback,False
GHE-00028,G-0001,2016-01-23,Susa,respiratory,severe,30,1,0,background_seasonal,3,0.0,2,True,moderate,0.82,tourism_attributed,silverback,False
GHE-00029,G-0001,2016-03-08,Susa,respiratory,moderate,16,1,1,tourism_linked,8,1.0,2,True,moderate,1.0,tourism_attributed,silverback,False
GHE-00030,G-0001,2016-03-09,Susa,respiratory,mild,4,1,0,tourism_linked,8,2.0,2,True,moderate,1.0,tourism_attributed,silverback,False
GHE-00031,G-0001,2016-03-19,Susa,dermatological,moderate,17,1,1,background_seasonal,4,0.0,2,True,moderate,0.92,tourism_attributed,silverback,False
GHE-00032,G-0001,2016-03-20,Susa,gastrointestinal,mild,4,1,0,background_seasonal,4,1.0,2,True,moderate,0.92,tourism_attributed,silverback,False
GHE-00033,G-0001,2016-03-31,Susa,respiratory,severe,24,1,1,tourism_linked,4,4.0,3,True,severe,0.96,tourism_attributed,silverback,False
GHE-00034,G-0001,2016-04-09,Susa,respiratory,moderate,9,1,1,background_seasonal,3,7.0,2,True,moderate,0.78,tourism_attributed,silverback,False
GHE-00035,G-0001,2016-04-24,Susa,respiratory,mild,7,1,0,background_seasonal,2,1.0,2,True,moderate,0.72,tourism_attributed,silverback,False
GHE-00036,G-0001,2016-05-05,Susa,respiratory,severe,28,1,0,tourism_linked,5,0.0,2,True,moderate,1.0,tourism_attributed,silverback,False
GHE-00037,G-0001,2016-05-01,Susa,gastrointestinal,moderate,18,1,1,background_seasonal,2,6.0,1,True,mild,0.63,tourism_attributed,silverback,False
GHE-00038,G-0001,2016-05-02,Susa,other,severe,20,1,1,background_seasonal,3,0.0,2,True,moderate,0.82,tourism_attributed,silverback,False
GHE-00039,G-0001,2016-05-04,Susa,respiratory,mild,8,1,0,background_seasonal,4,0.0,2,True,moderate,0.92,tourism_attributed,silverback,False
GHE-00040,G-0001,2016-05-21,Susa,respiratory,severe,15,1,1,background_seasonal,5,3.0,2,True,moderate,1.0,tourism_attributed,silverback,False
GHE-00041,G-0001,2016-07-23,Susa,respiratory,fatal,9,0,1,tourism_linked,6,0.0,3,True,severe,1.0,tourism_attributed,silverback,False
GHE-00042,G-0001,2016-07-27,Susa,respiratory,mild,4,1,0,tourism_linked,6,4.0,3,True,severe,1.0,tourism_attributed,silverback,False
GHE-00043,G-0001,2016-08-04,Susa,respiratory,mild,4,1,0,tourism_linked,7,1.0,3,True,severe,1.0,tourism_attributed,silverback,False
GHE-00044,G-0001,2016-08-03,Susa,respiratory,moderate,8,1,1,background_seasonal,7,0.0,3,True,severe,1.0,tourism_attributed,silverback,False
GHE-00045,G-0001,2016-08-22,Susa,respiratory,moderate,8,1,0,tourism_linked,8,1.0,2,True,moderate,1.0,tourism_attributed,silverback,False
GHE-00046,G-0001,2016-08-26,Susa,respiratory,mild,8,1,0,tourism_linked,8,0.0,2,True,moderate,1.0,tourism_attributed,silverback,False
GHE-00047,G-0001,2016-08-29,Susa,respiratory,mild,4,1,0,background_seasonal,9,0.0,2,True,moderate,1.0,tourism_attributed,silverback,False
GHE-00048,G-0001,2016-09-25,Susa,injury,mild,8,1,0,background_seasonal,5,1.0,2,True,moderate,1.0,tourism_attributed,silverback,False
GHE-00049,G-0001,2016-11-01,Susa,respiratory,moderate,8,1,0,background_seasonal,4,5.0,2,True,moderate,0.88,tourism_attributed,silverback,False
GHE-00050,G-0001,2016-11-04,Susa,injury,mild,4,1,0,background_seasonal,4,8.0,2,True,moderate,0.84,tourism_attributed,silverback,False
GHE-00051,G-0001,2016-11-07,Susa,respiratory,severe,30,1,1,background_seasonal,4,1.0,2,True,moderate,0.92,tourism_attributed,silverback,False
GHE-00052,G-0001,2016-11-21,Susa,respiratory,moderate,10,1,0,background_seasonal,0,,0,False,none,0.0,non_tourism,silverback,False
GHE-00053,G-0001,2016-12-13,Susa,respiratory,moderate,10,1,1,background_seasonal,6,0.0,2,True,moderate,1.0,tourism_attributed,silverback,False
GHE-00054,G-0001,2017-01-05,Susa,respiratory,mild,6,1,0,tourism_linked,4,4.0,2,True,moderate,0.88,tourism_attributed,silverback,False
GHE-00055,G-0001,2017-01-09,Susa,respiratory,moderate,12,1,1,background_seasonal,3,0.0,2,True,moderate,0.82,tourism_attributed,silverback,False
GHE-00056,G-0001,2017-01-11,Susa,respiratory,moderate,14,1,1,background_seasonal,3,2.0,2,True,moderate,0.82,tourism_attributed,silverback,False
GHE-00057,G-0001,2017-02-27,Susa,respiratory,fatal,21,0,1,tourism_linked,8,0.0,2,True,moderate,1.0,tourism_attributed,silverback,False
GHE-00058,G-0001,2017-03-07,Susa,respiratory,mild,7,1,0,background_seasonal,4,8.0,1,True,mild,0.79,tourism_attributed,silverback,False
GHE-00059,G-0001,2017-04-06,Susa,respiratory,moderate,11,1,1,tourism_linked,4,1.0,2,True,moderate,0.92,tourism_attributed,silverback,False
GHE-00060,G-0001,2017-03-27,Susa,respiratory,moderate,16,1,0,background_seasonal,3,4.0,1,True,mild,0.73,tourism_attributed,silverback,False
GHE-00061,G-0001,2017-04-12,Susa,gastrointestinal,mild,4,1,0,background_seasonal,5,1.0,2,True,moderate,1.0,tourism_attributed,silverback,False
GHE-00062,G-0001,2017-05-14,Susa,respiratory,moderate,15,1,1,tourism_linked,4,5.0,2,True,moderate,0.88,tourism_attributed,silverback,False
GHE-00063,G-0001,2017-05-16,Susa,respiratory,mild,6,1,0,background_seasonal,4,7.0,2,True,moderate,0.88,tourism_attributed,silverback,False
GHE-00064,G-0001,2017-05-19,Susa,respiratory,mild,5,1,0,background_seasonal,2,10.0,1,True,mild,0.59,tourism_attributed,silverback,False
GHE-00065,G-0001,2017-05-30,Susa,respiratory,moderate,9,1,0,tourism_linked,5,1.0,2,True,moderate,1.0,tourism_attributed,silverback,False
GHE-00066,G-0001,2017-06-25,Susa,respiratory,mild,3,1,0,background_seasonal,4,2.0,2,True,moderate,0.92,tourism_attributed,silverback,False
GHE-00067,G-0001,2017-07-18,Susa,respiratory,mild,3,1,0,tourism_linked,6,1.0,3,True,severe,1.0,tourism_attributed,silverback,False
GHE-00068,G-0001,2017-07-15,Susa,respiratory,mild,4,1,0,background_seasonal,5,1.0,3,True,severe,1.0,tourism_attributed,silverback,False
GHE-00069,G-0001,2017-07-24,Susa,respiratory,mild,3,1,0,tourism_linked,7,0.0,3,True,severe,1.0,tourism_attributed,silverback,False
GHE-00070,G-0001,2017-08-03,Susa,respiratory,severe,16,1,1,background_seasonal,8,0.0,3,True,severe,1.0,tourism_attributed,silverback,False
GHE-00071,G-0001,2017-08-16,Susa,respiratory,severe,30,1,1,background_seasonal,8,4.0,2,True,moderate,0.98,tourism_attributed,silverback,False
GHE-00072,G-0001,2017-09-19,Susa,respiratory,moderate,16,1,1,background_seasonal,4,0.0,1,True,mild,0.87,tourism_attributed,silverback,False
GHE-00073,G-0001,2017-10-05,Susa,respiratory,fatal,15,0,1,tourism_linked,8,2.0,2,True,moderate,1.0,tourism_attributed,silverback,False
GHE-00074,G-0001,2017-10-07,Susa,respiratory,mild,5,1,0,background_seasonal,9,1.0,2,True,moderate,1.0,tourism_attributed,silverback,False
GHE-00075,G-0001,2017-10-15,Susa,respiratory,severe,24,1,1,tourism_linked,5,0.0,2,True,moderate,1.0,tourism_attributed,silverback,False
GHE-00076,G-0001,2017-11-07,Susa,respiratory,fatal,12,0,1,background_seasonal,2,4.0,2,True,moderate,0.68,tourism_attributed,silverback,False
GHE-00077,G-0001,2017-12-01,Susa,gastrointestinal,moderate,18,1,0,background_seasonal,5,0.0,2,True,moderate,1.0,tourism_attributed,silverback,False
GHE-00078,G-0001,2017-12-23,Susa,respiratory,moderate,13,1,1,tourism_linked,4,10.0,2,True,moderate,0.84,tourism_attributed,silverback,False
GHE-00079,G-0001,2017-12-19,Susa,respiratory,mild,8,1,0,background_seasonal,7,6.0,2,True,moderate,0.98,tourism_attributed,silverback,False
GHE-00080,G-0001,2018-01-21,Susa,respiratory,mild,5,1,0,tourism_linked,6,2.0,2,True,moderate,1.0,tourism_attributed,silverback,False
GHE-00081,G-0001,2018-02-11,Susa,respiratory,fatal,14,0,1,background_seasonal,5,2.0,2,True,moderate,1.0,tourism_attributed,silverback,False
GHE-00083,G-0001,2018-02-21,Susa,respiratory,moderate,14,1,1,background_seasonal,7,2.0,2,True,moderate,1.0,tourism_attributed,silverback,False
GHE-00084,G-0001,2018-03-05,Susa,dermatological,mild,8,1,0,background_seasonal,4,5.0,2,True,moderate,0.88,tourism_attributed,silverback,False
GHE-00085,G-0001,2018-04-11,Susa,respiratory,fatal,7,0,1,tourism_linked,6,0.0,2,True,moderate,1.0,tourism_attributed,silverback,False
GHE-00086,G-0001,2018-04-18,Susa,respiratory,mild,7,1,0,background_seasonal,7,1.0,1,True,mild,0.97,tourism_attributed,silverback,False
GHE-00087,G-0001,2018-04-23,Susa,respiratory,mild,6,1,0,background_seasonal,6,6.0,1,True,mild,0.93,tourism_attributed,silverback,False
GHE-00088,G-0001,2018-04-30,Susa,respiratory,severe,20,1,1,background_seasonal,1,13.0,1,True,mild,0.45,tourism_possible,silverback,False
GHE-00089,G-0001,2018-05-02,Susa,respiratory,mild,4,1,0,background_seasonal,1,0.0,1,True,mild,0.57,tourism_attributed,silverback,False
GHE-00090,G-0001,2018-07-01,Susa,respiratory,moderate,14,1,1,background_seasonal,5,4.0,2,True,moderate,0.98,tourism_attributed,silverback,False
GHE-00091,G-0001,2018-07-05,Susa,respiratory,mild,4,1,0,background_seasonal,3,8.0,2,True,moderate,0.74,tourism_attributed,silverback,False
GHE-00092,G-0001,2018-07-14,Susa,respiratory,moderate,13,1,1,background_seasonal,7,0.0,2,True,moderate,1.0,tourism_attributed,silverback,False
GHE-00093,G-0001,2018-07-19,Susa,respiratory,severe,25,1,1,tourism_linked,8,1.0,2,True,moderate,1.0,tourism_attributed,silverback,False
GHE-00094,G-0001,2018-07-25,Susa,respiratory,mild,4,1,0,background_seasonal,9,2.0,2,True,moderate,1.0,tourism_attributed,silverback,False
GHE-00095,G-0001,2018-08-08,Susa,respiratory,mild,3,1,0,tourism_linked,3,3.0,1,True,mild,0.77,tourism_attributed,silverback,False
GHE-00096,G-0001,2018-08-13,Susa,respiratory,fatal,20,0,1,tourism_linked,4,2.0,1,True,mild,0.87,tourism_attributed,silverback,False
GHE-00097,G-0001,2018-08-28,Susa,respiratory,moderate,8,1,1,tourism_linked,5,5.0,2,True,moderate,0.98,tourism_attributed,silverback,False
GHE-00098,G-0001,2018-08-29,Susa,respiratory,mild,3,1,0,tourism_linked,6,0.0,2,True,moderate,1.0,tourism_attributed,silverback,False
GHE-00099,G-0001,2018-09-19,Susa,respiratory,mild,8,1,0,background_seasonal,2,3.0,1,True,mild,0.67,tourism_attributed,silverback,False
GHE-00100,G-0001,2018-09-28,Susa,respiratory,mild,5,1,0,tourism_linked,6,6.0,1,True,mild,0.93,tourism_attributed,silverback,False
GHE-00101,G-0001,2018-10-05,Susa,respiratory,mild,6,1,0,background_seasonal,2,13.0,1,True,mild,0.55,tourism_attributed,silverback,False
GHE-00102,G-0001,2018-10-06,Susa,respiratory,moderate,15,1,1,background_seasonal,3,0.0,2,True,moderate,0.82,tourism_attributed,silverback,False
GHE-00103,G-0001,2018-10-18,Susa,gastrointestinal,moderate,8,1,1,background_seasonal,5,4.0,2,True,moderate,0.98,tourism_attributed,silverback,False
GHE-00104,G-0001,2018-10-21,Susa,respiratory,mild,7,1,0,background_seasonal,4,7.0,2,True,moderate,0.88,tourism_attributed,silverback,False
GHE-00105,G-0001,2018-10-23,Susa,respiratory,moderate,16,1,1,background_seasonal,4,0.0,2,True,moderate,0.92,tourism_attributed,silverback,False
GHE-00106,G-0001,2018-10-22,Susa,respiratory,moderate,16,1,1,background_seasonal,3,8.0,2,True,moderate,0.74,tourism_attributed,silverback,False
GHE-00107,G-0001,2018-11-15,Susa,respiratory,mild,8,1,0,background_seasonal,0,,0,False,none,0.0,non_tourism,silverback,False
GHE-00108,G-0001,2018-12-10,Susa,respiratory,mild,8,1,0,tourism_linked,3,3.0,2,True,moderate,0.82,tourism_attributed,silverback,False
GHE-00109,G-0001,2019-01-02,Susa,dermatological,mild,5,1,0,background_seasonal,8,0.0,2,True,moderate,1.0,tourism_attributed,silverback,False
GHE-00110,G-0001,2019-03-17,Susa,gastrointestinal,mild,6,1,0,background_seasonal,5,0.0,2,True,moderate,1.0,tourism_attributed,silverback,False
GHE-00111,G-0001,2019-03-27,Susa,gastrointestinal,moderate,11,1,0,background_seasonal,1,10.0,2,True,moderate,0.54,tourism_attributed,silverback,False
GHE-00112,G-0001,2019-04-04,Susa,respiratory,fatal,10,0,1,background_seasonal,1,0.0,1,True,mild,0.57,tourism_attributed,silverback,False
GHE-00113,G-0001,2019-04-08,Susa,respiratory,moderate,14,1,1,tourism_linked,4,0.0,2,True,moderate,0.92,tourism_attributed,silverback,False
GHE-00115,G-0001,2019-04-17,Susa,respiratory,severe,26,1,1,background_seasonal,4,9.0,2,True,moderate,0.84,tourism_attributed,silverback,False
GHE-00116,G-0001,2019-04-23,Susa,gastrointestinal,mild,8,1,0,background_seasonal,3,0.0,1,True,mild,0.77,tourism_attributed,silverback,False
GHE-00117,G-0001,2019-06-21,Susa,respiratory,moderate,13,1,1,tourism_linked,4,0.0,2,True,moderate,0.92,tourism_attributed,silverback,False
GHE-00118,G-0001,2019-06-23,Susa,respiratory,moderate,11,1,1,tourism_linked,4,1.0,2,True,moderate,0.92,tourism_attributed,silverback,False
GHE-00119,G-0001,2019-07-03,Susa,dermatological,mild,3,1,0,background_seasonal,5,3.0,2,True,moderate,1.0,tourism_attributed,silverback,False
GHE-00120,G-0001,2019-08-19,Susa,respiratory,moderate,13,1,0,background_seasonal,7,3.0,2,True,moderate,1.0,tourism_attributed,silverback,False
GHE-00121,G-0001,2019-08-23,Susa,respiratory,moderate,11,1,1,background_seasonal,4,7.0,1,True,mild,0.83,tourism_attributed,silverback,False
GHE-00122,G-0001,2019-08-26,Susa,respiratory,severe,21,1,1,background_seasonal,4,10.0,1,True,mild,0.79,tourism_attributed,silverback,False
GHE-00123,G-0001,2019-08-29,Susa,respiratory,moderate,14,1,1,background_seasonal,2,2.0,1,True,mild,0.67,tourism_attributed,silverback,False
GHE-00124,G-0001,2019-09-02,Susa,respiratory,severe,26,1,1,tourism_linked,3,0.0,2,True,moderate,0.82,tourism_attributed,silverback,False
GHE-00125,G-0001,2019-09-16,Susa,respiratory,severe,35,1,0,tourism_linked,5,0.0,2,True,moderate,1.0,tourism_attributed,silverback,False
GHE-00126,G-0001,2019-10-09,Susa,gastrointestinal,moderate,16,1,0,background_seasonal,7,0.0,2,True,moderate,1.0,tourism_attributed,silverback,False
GHE-00127,G-0001,2019-10-28,Susa,gastrointestinal,moderate,14,1,1,background_seasonal,2,6.0,1,True,mild,0.63,tourism_attributed,silverback,False
GHE-00128,G-0001,2019-10-31,Susa,dermatological,mild,4,1,0,background_seasonal,2,9.0,1,True,mild,0.59,tourism_attributed,silverback,False
GHE-00129,G-0001,2019-11-02,Susa,respiratory,moderate,18,1,0,background_seasonal,2,11.0,1,True,mild,0.55,tourism_attributed,silverback,False
GHE-00131,G-0001,2019-11-04,Susa,respiratory,fatal,12,0,1,background_seasonal,1,13.0,1,True,mild,0.45,tourism_possible,silverback,False
GHE-00132,G-0001,2019-11-26,Susa,respiratory,moderate,17,1,0,tourism_linked,1,9.0,1,True,mild,0.49,tourism_possible,silverback,False
GHE-00133,G-0001,2019-12-10,Susa,respiratory,fatal,6,0,1,background_seasonal,5,3.0,2,True,moderate,1.0,tourism_attributed,silverback,False
GHE-00134,G-0001,2020-01-08,Susa,respiratory,severe,34,1,1,tourism_linked,11,0.0,2,True,moderate,1.0,tourism_attributed,silverback,False
GHE-00135,G-0001,2020-01-11,Susa,respiratory,severe,26,1,1,background_seasonal,10,3.0,2,True,moderate,1.0,tourism_attributed,silverback,False
GHE-00136,G-0001,2020-01-16,Susa,respiratory,mild,4,1,0,tourism_linked,4,2.0,2,True,moderate,0.92,tourism_attributed,silverback,False
GHE-00137,G-0001,2020-03-16,Susa,dermatological,mild,4,1,0,background_seasonal,1,5.0,1,True,mild,0.53,tourism_attributed,silverback,False
GHE-00138,G-0001,2020-03-26,Susa,respiratory,mild,6,1,0,tourism_linked,7,2.0,2,True,moderate,1.0,tourism_attributed,silverback,False
GHE-00139,G-0001,2020-03-28,Susa,gastrointestinal,moderate,17,1,1,background_seasonal,7,4.0,2,True,moderate,0.98,tourism_attributed,silverback,False
GHE-00140,G-0001,2020-04-12,Susa,respiratory,mild,3,1,0,background_seasonal,3,0.0,2,True,moderate,0.82,tourism_attributed,silverback,False
GHE-00141,G-0001,2020-04-11,Susa,respiratory,mild,5,1,0,background_seasonal,0,,0,False,none,0.0,non_tourism,silverback,False
GHE-00142,G-0001,2020-04-16,Susa,respiratory,moderate,9,1,0,background_seasonal,4,1.0,2,True,moderate,0.92,tourism_attributed,silverback,False
GHE-00143,G-0001,2020-04-20,Susa,respiratory,mild,8,1,0,background_seasonal,5,3.0,2,True,moderate,1.0,tourism_attributed,silverback,False
GHE-00144,G-0001,2020-04-23,Susa,respiratory,severe,32,1,0,background_seasonal,5,6.0,2,True,moderate,0.98,tourism_attributed,silverback,False
GHE-00145,G-0001,2020-05-17,Susa,respiratory,moderate,14,1,1,background_seasonal,8,0.0,1,True,mild,0.97,tourism_attributed,silverback,False
GHE-00146,G-0001,2020-05-31,Susa,respiratory,severe,32,1,1,background_seasonal,3,0.0,1,True,mild,0.77,tourism_attributed,silverback,False
GHE-00147,G-0001,2020-06-11,Susa,other,mild,7,1,0,background_seasonal,4,6.0,1,True,mild,0.83,tourism_attributed,silverback,False
GHE-00148,G-0001,2020-06-21,Susa,respiratory,moderate,7,1,1,background_seasonal,2,1.0,2,True,moderate,0.72,tourism_attributed,silverback,False
GHE-00149,G-0001,2020-07-02,Susa,respiratory,fatal,10,0,1,tourism_linked,4,5.0,3,True,severe,0.96,tourism_attributed,silverback,False
GHE-00150,G-0001,2020-07-06,Susa,respiratory,mild,5,1,0,background_seasonal,4,2.0,3,True,severe,1.0,tourism_attributed,silverback,False
GHE-00151,G-0001,2020-07-11,Susa,respiratory,moderate,14,1,1,background_seasonal,3,4.0,3,True,severe,0.86,tourism_attributed,silverback,False
GHE-00152,G-0001,2020-07-30,Susa,respiratory,mild,7,1,0,background_seasonal,9,2.0,2,True,moderate,1.0,tourism_attributed,silverback,False
GHE-00153,G-0001,2020-08-03,Susa,respiratory,mild,4,1,0,background_seasonal,9,2.0,2,True,moderate,1.0,tourism_attributed,silverback,False
GHE-00154,G-0001,2020-08-27,Susa,respiratory,mild,6,1,0,background_seasonal,2,5.0,2,True,moderate,0.68,tourism_attributed,silverback,False
GHE-00155,G-0001,2020-09-09,Susa,respiratory,mild,6,1,0,tourism_linked,4,3.0,2,True,moderate,0.92,tourism_attributed,silverback,False
GHE-00156,G-0001,2020-09-23,Susa,respiratory,moderate,7,1,1,tourism_linked,3,0.0,3,True,severe,0.9,tourism_attributed,silverback,False
GHE-00157,G-0001,2020-10-25,Susa,respiratory,mild,5,1,0,tourism_linked,6,2.0,2,True,moderate,1.0,tourism_attributed,silverback,False
GHE-00158,G-0001,2020-10-30,Susa,injury,moderate,7,1,1,background_seasonal,7,1.0,2,True,moderate,1.0,tourism_attributed,silverback,False
GHE-00159,G-0001,2020-11-07,Susa,respiratory,mild,6,1,0,background_seasonal,3,0.0,1,True,mild,0.77,tourism_attributed,silverback,False
GHE-00160,G-0001,2020-12-08,Susa,respiratory,mild,8,1,0,background_seasonal,6,0.0,2,True,moderate,1.0,tourism_attributed,silverback,False
GHE-00161,G-0001,2021-01-11,Susa,dermatological,fatal,21,0,1,background_seasonal,4,1.0,2,True,moderate,0.92,tourism_attributed,silverback,False
GHE-00162,G-0001,2021-01-25,Susa,injury,mild,8,1,0,background_seasonal,3,2.0,1,True,mild,0.77,tourism_attributed,silverback,False
GHE-00163,G-0001,2021-03-03,Susa,respiratory,mild,8,1,0,background_seasonal,6,5.0,2,True,moderate,0.98,tourism_attributed,silverback,False
GHE-00164,G-0001,2021-03-09,Susa,respiratory,mild,6,1,0,background_seasonal,3,0.0,2,True,moderate,0.82,tourism_attributed,silverback,False
GHE-00165,G-0001,2021-03-25,Susa,respiratory,severe,25,1,1,background_seasonal,2,0.0,2,True,moderate,0.72,tourism_attributed,silverback,False
GHE-00166,G-0001,2021-04-25,Susa,respiratory,moderate,16,1,0,background_seasonal,6,6.0,2,True,moderate,0.98,tourism_attributed,silverback,False
GHE-00167,G-0001,2021-05-02,Susa,respiratory,severe,33,1,1,background_seasonal,5,0.0,2,True,moderate,1.0,tourism_attributed,silverback,False
GHE-00168,G-0001,2021-05-20,Susa,respiratory,mild,7,1,0,background_seasonal,2,2.0,2,True,moderate,0.72,tourism_attributed,silverback,False
GHE-00169,G-0001,2021-05-30,Susa,respiratory,mild,7,1,0,background_seasonal,3,2.0,2,True,moderate,0.82,tourism_attributed,silverback,False
GHE-00170,G-0001,2021-06-01,Susa,respiratory,severe,20,1,0,background_seasonal,4,0.0,2,True,moderate,0.92,tourism_attributed,silverback,False
GHE-00171,G-0001,2021-06-13,Susa,respiratory,mild,8,1,0,background_seasonal,4,2.0,2,True,moderate,0.92,tourism_attributed,silverback,False
GHE-00172,G-0001,2021-08-26,Susa,respiratory,moderate,11,1,1,background_seasonal,4,2.0,2,True,moderate,0.92,tourism_attributed,silverback,False
GHE-00173,G-0001,2021-08-31,Susa,respiratory,mild,3,1,0,background_seasonal,7,0.0,2,True,moderate,1.0,tourism_attributed,silverback,False
GHE-00174,G-0001,2021-09-05,Susa,respiratory,moderate,15,1,1,tourism_linked,7,1.0,1,True,mild,0.97,tourism_attributed,silverback,False
GHE-00175,G-0001,2021-10-12,Susa,respiratory,mild,3,1,0,background_seasonal,3,7.0,2,True,moderate,0.78,tourism_attributed,silverback,False
GHE-00176,G-0001,2021-10-13,Susa,respiratory,mild,3,1,0,background_seasonal,3,8.0,2,True,moderate,0.74,tourism_attributed,silverback,False
GHE-00177,G-0001,2021-10-17,Susa,respiratory,moderate,18,1,1,background_seasonal,3,1.0,1,True,mild,0.77,tourism_attributed,silverback,False
GHE-00178,G-0001,2021-10-23,Susa,respiratory,fatal,20,0,1,tourism_linked,3,1.0,2,True,moderate,0.82,tourism_attributed,silverback,False
GHE-00180,G-0001,2021-10-25,Susa,other,mild,3,1,0,background_seasonal,3,3.0,2,True,moderate,0.82,tourism_attributed,silverback,False
GHE-00181,G-0001,2021-10-26,Susa,other,moderate,13,1,1,background_seasonal,3,4.0,2,True,moderate,0.78,tourism_attributed,silverback,False
GHE-00182,G-0001,2021-11-04,Susa,respiratory,moderate,8,1,1,background_seasonal,1,13.0,1,True,mild,0.45,tourism_possible,silverback,False
GHE-00183,G-0001,2021-11-21,Susa,respiratory,moderate,12,1,1,background_seasonal,3,9.0,2,True,moderate,0.74,tourism_attributed,silverback,False
GHE-00184,G-0001,2021-11-30,Susa,respiratory,mild,5,1,0,tourism_linked,3,3.0,1,True,mild,0.77,tourism_attributed,silverback,False
