event_id,gorilla_id,event_date,group_id,illness_type,severity,days_ill,recovered,veterinary_treated,transmission_source,linked_tourist_visit,name,sex,age_years,age_category,immunocompromised,status,altitude_m,year,month,quarter,season,rainfall_mm,temp_mean_c,humidity_pct,is_respiratory,is_severe,is_fatal
GHE-20610,G-0105,2020-05-25,Umubano,respiratory,fatal,15,False,True,background_seasonal,,Inzira,F,1,infant,False,alive,2700,2020,5,2,wet_long,32.41,11.1,64.5,1,1,1
GHE-20613,G-0105,2020-06-06,Umubano,respiratory,fatal,8,False,False,tourism_linked,2020-06-03,Inzira,F,1,infant,False,alive,2700,2020,6,2,dry_long,0.43,13.5,57.5,1,1,1
GHE-20616,G-0105,2020-07-15,Umubano,respiratory,fatal,8,False,True,background_seasonal,,Inzira,F,1,infant,False,alive,2700,2020,7,3,dry_long,0.87,14.3,53.9,1,1,1
GHE-20619,G-0105,2020-08-19,Umubano,respiratory,fatal,11,False,False,background_seasonal,,Inzira,F,1,infant,False,alive,2700,2020,8,3,dry_long,0.31,14.4,62.7,1,1,1
GHE-20621,G-0105,2020-09-25,Umubano,respiratory,fatal,17,False,True,tourism_linked,2020-09-11,Inzira,F,1,infant,False,alive,2700,2020,9,3,dry_long,1.04,13.9,53.1,1,1,1
GHE-00073,G-0001,2017-10-05,Susa,respiratory,fatal,15,False,True,tourism_linked,2017-09-28,Akagera,M,28,silverback,False,alive,3200,2017,10,4,wet_short,13.05,11.2,79.4,1,1,1
GHE-00076,G-0001,2017-11-07,Susa,respiratory,fatal,12,False,True,background_seasonal,,Akagera,M,28,silverback,False,alive,3200,2017,11,4,wet_short,0.66,13.5,78.1,1,1,1
GHE-04261,G-0025,2020-12-19,Susa,respiratory,fatal,5,False,True,tourism_linked,2020-12-08,Bigurura,M,1,infant,False,alive,3200,2020,12,4,dry_short,1.08,12.7,55.4,1,1,1
GHE-04276,G-0025,2021-04-13,Susa,respiratory,fatal,18,False,True,maternal_intragroup,,Bigurura,M,1,infant,False,alive,3200,2021,4,2,wet_long,5.62,9.1,72.4,1,1,1
GHE-04304,G-0025,2021-11-26,Susa,dermatological,fatal,17,False,True,background_seasonal,,Bigurura,M,1,infant,False,alive,3200,2021,11,4,wet_short,1.01,10.1,71.5,0,1,1
GHE-03878,G-0024,2023-05-05,Susa,gastrointestinal,fatal,19,False,False,background_seasonal,,Ndeze,M,0,infant,False,alive,3200,2023,5,2,wet_long,8.1,9.7,84.6,0,1,1
GHE-03881,G-0024,2023-05-07,Susa,respiratory,fatal,9,False,True,maternal_intragroup,,Ndeze,M,0,infant,False,alive,3200,2023,5,2,wet_long,5.77,11.0,71.6,1,1,1
GHE-20551,G-0105,2019-04-06,Umubano,respiratory,fatal,19,False,False,background_seasonal,,Inzira,F,1,infant,False,alive,2700,2019,4,2,wet_long,6.59,9.7,74.6,1,1,1
GHE-20588,G-0105,2019-12-25,Umubano,respiratory,fatal,18,False,True,maternal_intragroup,,Inzira,F,1,infant,False,alive,2700,2019,12,4,dry_short,1.76,13.6,64.8,1,1,1
GHE-00081,G-0001,2018-02-11,Susa,respiratory,fatal,14,False,True,background_seasonal,,Akagera,M,28,silverback,False,alive,3200,2018,2,1,dry_short,1.28,13.5,64.1,1,1,1
GHE-00085,G-0001,2018-04-11,Susa,respiratory,fatal,7,False,True,tourism_linked,2018-03-29,Akagera,M,28,silverback,False,alive,3200,2018,4,2,wet_long,5.66,11.6,82.1,1,1,1
GHE-00096,G-0001,2018-08-13,Susa,respiratory,fatal,20,False,True,tourism_linked,2018-08-05,Akagera,M,28,silverback,False,alive,3200,2018,8,3,dry_long,5.16,14.5,67.7,1,1,1
GHE-04314,G-0025,2022-01-29,Susa,respiratory,fatal,11,False,True,background_seasonal,,Bigurura,M,1,infant,False,alive,3200,2022,1,1,dry_short,7.27,14.1,69.8,1,1,1
GHE-04332,G-0025,2022-05-26,Susa,respiratory,fatal,10,False,False,background_seasonal,,Bigurura,M,1,infant,False,alive,3200,2022,5,2,wet_long,5.2,11.2,78.6,1,1,1
GHE-04337,G-0025,2022-06-07,Susa,respiratory,fatal,21,False,True,tourism_linked,2022-05-31,Bigurura,M,1,infant,False,alive,3200,2022,6,2,dry_long,0.45,14.3,62.6,1,1,1
GHE-04356,G-0025,2022-10-29,Susa,respiratory,fatal,16,False,False,maternal_intragroup,,Bigurura,M,1,infant,False,alive,3200,2022,10,4,wet_short,5.59,11.4,72.3,1,1,1
GHE-04362,G-0025,2022-12-13,Susa,respiratory,fatal,12,False,True,maternal_intragroup,,Bigurura,M,1,infant,False,alive,3200,2022,12,4,dry_short,3.43,12.8,70.3,1,1,1
GHE-04364,G-0025,2022-12-26,Susa,respiratory,fatal,19,False,False,maternal_intragroup,,Bigurura,M,1,infant,False,alive,3200,2022,12,4,dry_short,0.32,13.7,65.2,1,1,1
GHE-03857,G-0024,2023-02-21,Susa,respiratory,fatal,11,False,False,maternal_intragroup,,Ndeze,M,0,infant,False,alive,3200,2023,2,1,dry_short,7.21,12.2,68.3,1,1,1
GHE-04385,G-0025,2023-06-16,Susa,respiratory,fatal,11,False,True,tourism_linked,2023-06-12,Bigurura,M,1,infant,False,alive,3200,2023,6,2,dry_long,3.24,15.3,58.0,1,1,1
GHE-04398,G-0025,2023-11-06,Susa,respiratory,fatal,16,False,False,background_seasonal,,Bigurura,M,1,infant,False,alive,3200,2023,11,4,wet_short,3.55,9.9,75.7,1,1,1
GHE-04406,G-0026,2015-01-21,Susa,respiratory,fatal,11,False,True,background_seasonal,,Inkumbuzi,M,2,infant,False,unknown,3200,2015,1,1,dry_short,0.83,14.1,56.1,1,1,1
GHE-04407,G-0026,2015-01-22,Susa,respiratory,fatal,9,False,True,background_seasonal,,Inkumbuzi,M,2,infant,False,unknown,3200,2015,1,1,dry_short,5.18,12.2,56.7,1,1,1
GHE-04415,G-0026,2015-03-11,Susa,respiratory,fatal,21,False,True,background_seasonal,,Inkumbuzi,M,2,infant,False,unknown,3200,2015,3,1,wet_long,3.96,9.5,86.7,1,1,1
GHE-04416,G-0026,2015-03-17,Susa,respiratory,fatal,9,False,True,maternal_intragroup,,Inkumbuzi,M,2,infant,False,unknown,3200,2015,3,1,wet_long,0.04,9.4,76.5,1,1,1
GHE-04424,G-0026,2015-04-16,Susa,respiratory,fatal,21,False,True,background_seasonal,,Inkumbuzi,M,2,infant,False,unknown,3200,2015,4,2,wet_long,3.07,10.8,79.8,1,1,1
GHE-20460,G-0105,2017-06-21,Umubano,other,fatal,9,False,False,background_seasonal,,Inzira,F,1,infant,False,alive,2700,2017,6,2,dry_long,5.78,12.9,50.9,0,1,1
GHE-20488,G-0105,2018-02-05,Umubano,respiratory,fatal,14,False,True,background_seasonal,,Inzira,F,1,infant,False,alive,2700,2018,2,1,dry_short,0.23,12.9,64.0,1,1,1
GHE-20501,G-0105,2018-04-24,Umubano,respiratory,fatal,6,False,True,maternal_intragroup,,Inzira,F,1,infant,False,alive,2700,2018,4,2,wet_long,1.94,11.8,72.4,1,1,1
GHE-20504,G-0105,2018-05-04,Umubano,respiratory,fatal,11,False,True,background_seasonal,,Inzira,F,1,infant,False,alive,2700,2018,5,2,wet_long,8.0,10.7,86.0,1,1,1
GHE-20521,G-0105,2018-10-21,Umubano,respiratory,fatal,13,False,True,maternal_intragroup,,Inzira,F,1,infant,False,alive,2700,2018,10,4,wet_short,2.65,12.8,81.9,1,1,1
GHE-00112,G-0001,2019-04-04,Susa,respiratory,fatal,10,False,True,background_seasonal,,Akagera,M,28,silverback,False,alive,3200,2019,4,2,wet_long,14.49,10.9,88.5,1,1,1
GHE-20531,G-0105,2018-12-14,Umubano,respiratory,fatal,14,False,True,background_seasonal,,Inzira,F,1,infant,False,alive,2700,2018,12,4,dry_short,5.73,12.0,56.1,1,1,1
GHE-20544,G-0105,2019-03-11,Umubano,gastrointestinal,fatal,14,False,False,background_seasonal,,Inzira,F,1,infant,False,alive,2700,2019,3,1,wet_long,15.12,10.2,78.9,0,1,1
GHE-04447,G-0026,2015-11-12,Susa,respiratory,fatal,13,False,True,background_seasonal,,Inkumbuzi,M,2,infant,False,unknown,3200,2015,11,4,wet_short,2.13,10.4,73.1,1,1,1
GHE-04453,G-0026,2015-12-30,Susa,respiratory,fatal,11,False,True,tourism_linked,2015-12-27,Inkumbuzi,M,2,infant,False,unknown,3200,2015,12,4,dry_short,3.4,13.6,69.1,1,1,1
GHE-04466,G-0026,2016-02-14,Susa,respiratory,fatal,10,False,False,maternal_intragroup,,Inkumbuzi,M,2,infant,False,unknown,3200,2016,2,1,dry_short,3.32,12.6,58.0,1,1,1
GHE-04469,G-0026,2016-02-21,Susa,respiratory,fatal,9,False,True,maternal_intragroup,,Inkumbuzi,M,2,infant,False,unknown,3200,2016,2,1,dry_short,2.38,13.8,55.9,1,1,1
GHE-03834,G-0024,2022-08-03,Susa,respiratory,fatal,17,False,True,maternal_intragroup,,Ndeze,M,0,infant,False,alive,3200,2022,8,3,dry_long,1.48,12.8,56.6,1,1,1
GHE-20419,G-0105,2016-12-17,Umubano,respiratory,fatal,11,False,True,tourism_linked,2016-12-12,Inzira,F,1,infant,False,alive,2700,2016,12,4,dry_short,6.57,13.8,66.3,1,1,1
GHE-20455,G-0105,2017-05-17,Umubano,respiratory,fatal,6,False,False,background_seasonal,,Inzira,F,1,infant,False,alive,2700,2017,5,2,wet_long,9.94,10.7,77.5,1,1,1
GHE-04496,G-0026,2016-06-20,Susa,respiratory,fatal,13,False,False,background_seasonal,,Inkumbuzi,M,2,infant,False,unknown,3200,2016,6,2,dry_long,1.38,14.2,61.4,1,1,1
GHE-04504,G-0026,2016-09-03,Susa,respiratory,fatal,13,False,True,tourism_linked,2016-08-26,Inkumbuzi,M,2,infant,False,unknown,3200,2016,9,3,dry_long,2.05,11.9,55.8,1,1,1
GHE-04507,G-0026,2016-10-15,Susa,respiratory,fatal,9,False,True,background_seasonal,,Inkumbuzi,M,2,infant,False,unknown,3200,2016,10,4,wet_short,13.09,10.5,77.1,1,1,1
GHE-04519,G-0026,2016-12-23,Susa,respiratory,fatal,17,False,True,background_seasonal,,Inkumbuzi,M,2,infant,False,unknown,3200,2016,12,4,dry_short,4.04,14.8,63.6,1,1,1
GHE-04522,G-0026,2017-01-26,Susa,respiratory,fatal,16,False,False,tourism_linked,2017-01-18,Inkumbuzi,M,2,infant,False,unknown,3200,2017,1,1,dry_short,0.59,13.3,73.3,1,1,1
GHE-04525,G-0026,2017-02-04,Susa,respiratory,fatal,12,False,False,background_seasonal,,Inkumbuzi,M,2,infant,False,unknown,3200,2017,2,1,dry_short,0.9,12.0,65.5,1,1,1
GHE-04533,G-0026,2017-03-25,Susa,respiratory,fatal,7,False,True,background_seasonal,,Inkumbuzi,M,2,infant,False,unknown,3200,2017,3,1,wet_long,1.94,9.0,83.0,1,1,1
GHE-04544,G-0026,2017-07-07,Susa,respiratory,fatal,13,False,True,tourism_linked,2017-06-23,Inkumbuzi,M,2,infant,False,unknown,3200,2017,7,3,dry_long,2.88,14.2,57.5,1,1,1
GHE-03806,G-0024,2022-03-20,Susa,respiratory,fatal,6,False,True,background_seasonal,,Ndeze,M,0,infant,False,alive,3200,2022,3,1,wet_long,9.87,10.3,88.8,1,1,1
GHE-04560,G-0026,2017-08-31,Susa,respiratory,fatal,9,False,True,tourism_linked,2017-08-23,Inkumbuzi,M,2,infant,False,unknown,3200,2017,8,3,dry_long,1.54,14.7,56.3,1,1,1
GHE-04563,G-0026,2017-09-16,Susa,respiratory,fatal,20,False,True,background_seasonal,,Inkumbuzi,M,2,infant,False,unknown,3200,2017,9,3,dry_long,3.81,15.2,58.8,1,1,1
GHE-04564,G-0026,2017-09-30,Susa,respiratory,fatal,7,False,False,background_seasonal,,Inkumbuzi,M,2,infant,False,unknown,3200,2017,9,3,dry_long,1.13,13.3,57.9,1,1,1
GHE-04571,G-0026,2017-10-23,Susa,gastrointestinal,fatal,8,False,False,background_seasonal,,Inkumbuzi,M,2,infant,False,unknown,3200,2017,10,4,wet_short,1.84,10.2,60.9,0,1,1
GHE-04576,G-0026,2017-11-18,Susa,gastrointestinal,fatal,10,False,True,background_seasonal,,Inkumbuzi,M,2,infant,False,unknown,3200,2017,11,4,wet_short,31.29,11.7,79.0,0,1,1
GHE-04595,G-0026,2018-03-06,Susa,respiratory,fatal,5,False,True,maternal_intragroup,,Inkumbuzi,M,2,infant,False,unknown,3200,2018,3,1,wet_long,3.39,11.4,79.1,1,1,1
GHE-04598,G-0026,2018-03-31,Susa,respiratory,fatal,10,False,True,background_seasonal,,Inkumbuzi,M,2,infant,False,unknown,3200,2018,3,1,wet_long,7.97,10.8,78.7,1,1,1
GHE-20365,G-0105,2016-03-09,Umubano,gastrointestinal,fatal,20,False,True,background_seasonal,,Inzira,F,1,infant,False,alive,2700,2016,3,1,wet_long,30.81,9.9,86.8,0,1,1
GHE-20371,G-0105,2016-03-28,Umubano,respiratory,fatal,21,False,True,background_seasonal,,Inzira,F,1,infant,False,alive,2700,2016,3,1,wet_long,2.3,11.3,80.8,1,1,1
GHE-20379,G-0105,2016-04-21,Umubano,respiratory,fatal,18,False,True,background_seasonal,,Inzira,F,1,infant,False,alive,2700,2016,4,2,wet_long,2.28,9.8,93.0,1,1,1
GHE-20385,G-0105,2016-05-05,Umubano,respiratory,fatal,20,False,True,background_seasonal,,Inzira,F,1,infant,False,alive,2700,2016,5,2,wet_long,12.75,11.7,85.4,1,1,1
GHE-20387,G-0105,2016-05-10,Umubano,respiratory,fatal,19,False,True,background_seasonal,,Inzira,F,1,infant,False,alive,2700,2016,5,2,wet_long,9.99,10.2,75.8,1,1,1
GHE-00131,G-0001,2019-11-04,Susa,respiratory,fatal,12,False,True,background_seasonal,,Akagera,M,28,silverback,False,alive,3200,2019,11,4,wet_short,45.28,12.0,71.6,1,1,1
GHE-00133,G-0001,2019-12-10,Susa,respiratory,fatal,6,False,True,background_seasonal,,Akagera,M,28,silverback,False,alive,3200,2019,12,4,dry_short,0.67,11.6,59.1,1,1,1
GHE-20403,G-0105,2016-09-30,Umubano,respiratory,fatal,20,False,False,background_seasonal,,Inzira,F,1,infant,False,alive,2700,2016,9,3,dry_long,1.48,13.2,60.4,1,1,1
GHE-20406,G-0105,2016-10-17,Umubano,respiratory,fatal,17,False,True,background_seasonal,,Inzira,F,1,infant,False,alive,2700,2016,10,4,wet_short,4.73,12.5,82.4,1,1,1
GHE-04607,G-0026,2018-05-11,Susa,respiratory,fatal,18,False,True,maternal_intragroup,,Inkumbuzi,M,2,infant,False,unknown,3200,2018,5,2,wet_long,42.85,11.4,90.7,1,1,1
GHE-04618,G-0026,2018-08-17,Susa,respiratory,fatal,12,False,False,background_seasonal,,Inkumbuzi,M,2,infant,False,unknown,3200,2018,8,3,dry_long,1.13,12.9,49.2,1,1,1
GHE-03768,G-0024,2021-04-15,Susa,respiratory,fatal,11,False,True,tourism_linked,2021-04-13,Ndeze,M,0,infant,False,alive,3200,2021,4,2,wet_long,2.74,10.1,82.3,1,1,1
GHE-04636,G-0026,2019-01-23,Susa,respiratory,fatal,21,False,False,tourism_linked,2019-01-21,Inkumbuzi,M,2,infant,False,unknown,3200,2019,1,1,dry_short,0.79,13.2,70.8,1,1,1
GHE-20316,G-0105,2015-04-30,Umubano,respiratory,fatal,7,False,True,tourism_linked,2015-04-16,Inzira,F,1,infant,False,alive,2700,2015,4,2,wet_long,8.35,9.7,81.0,1,1,1
GHE-20329,G-0105,2015-06-15,Umubano,respiratory,fatal,20,False,True,background_seasonal,,Inzira,F,1,infant,False,alive,2700,2015,6,2,dry_long,0.53,14.6,58.7,1,1,1
GHE-00149,G-0001,2020-07-02,Susa,respiratory,fatal,10,False,True,tourism_linked,2020-06-27,Akagera,M,28,silverback,False,alive,3200,2020,7,3,dry_long,1.4,13.5,64.9,1,1,1
GHE-20353,G-0105,2016-01-02,Umubano,respiratory,fatal,20,False,True,maternal_intragroup,,Inzira,F,1,infant,False,alive,2700,2016,1,1,dry_short,0.44,12.1,65.3,1,1,1
GHE-20355,G-0105,2016-01-16,Umubano,gastrointestinal,fatal,21,False,False,background_seasonal,,Inzira,F,1,infant,False,alive,2700,2016,1,1,dry_short,5.81,11.6,61.3,0,1,1
GHE-04668,G-0026,2019-06-12,Susa,respiratory,fatal,7,False,True,background_seasonal,,Inkumbuzi,M,2,infant,False,unknown,3200,2019,6,2,dry_long,0.2,13.5,56.1,1,1,1
GHE-04679,G-0026,2019-08-19,Susa,respiratory,fatal,12,False,False,maternal_intragroup,,Inkumbuzi,M,2,infant,False,unknown,3200,2019,8,3,dry_long,0.12,14.5,63.7,1,1,1
GHE-03749,G-0024,2020-12-17,Susa,respiratory,fatal,17,False,True,tourism_linked,2020-12-07,Ndeze,M,0,infant,False,alive,3200,2020,12,4,dry_short,15.38,11.7,57.5,1,1,1
GHE-04690,G-0026,2019-11-10,Susa,gastrointestinal,fatal,16,False,True,background_seasonal,,Inkumbuzi,M,2,infant,False,unknown,3200,2019,11,4,wet_short,3.72,9.6,66.9,0,1,1
GHE-04692,G-0026,2019-11-14,Susa,respiratory,fatal,16,False,True,maternal_intragroup,,Inkumbuzi,M,2,infant,False,unknown,3200,2019,11,4,wet_short,7.9,11.6,69.3,1,1,1
GHE-03729,G-0024,2020-05-08,Susa,respiratory,fatal,17,False,True,tourism_linked,2020-05-01,Ndeze,M,0,infant,False,alive,3200,2020,5,2,wet_long,55.91,10.2,84.7,1,1,1
GHE-04718,G-0026,2020-05-07,Susa,respiratory,fatal,12,False,True,maternal_intragroup,,Inkumbuzi,M,2,infant,False,unknown,3200,2020,5,2,wet_long,16.84,9.3,81.5,1,1,1
GHE-04721,G-0026,2020-06-05,Susa,respiratory,fatal,18,False,True,background_seasonal,,Inkumbuzi,M,2,infant,False,unknown,3200,2020,6,2,dry_long,1.77,14.1,63.0,1,1,1
GHE-04728,G-0026,2020-08-10,Susa,respiratory,fatal,15,False,True,tourism_linked,2020-07-27,Inkumbuzi,M,2,infant,False,unknown,3200,2020,8,3,dry_long,2.83,14.5,55.2,1,1,1
GHE-03724,G-0024,2020-03-30,Susa,respiratory,fatal,11,False,True,maternal_intragroup,,Ndeze,M,0,infant,False,alive,3200,2020,3,1,wet_long,6.88,11.0,88.7,1,1,1
GHE-03726,G-0024,2020-04-05,Susa,respiratory,fatal,20,False,False,maternal_intragroup,,Ndeze,M,0,infant,False,alive,3200,2020,4,2,wet_long,5.29,11.1,77.7,1,1,1
GHE-20248,G-0104,2022-08-23,Umubano,respiratory,fatal,16,False,False,tourism_linked,2022-08-18,Umwana,F,2,infant,False,alive,2700,2022,8,3,dry_long,0.27,14.5,58.9,1,1,1
GHE-20249,G-0104,2022-10-07,Umubano,other,fatal,6,False,True,background_seasonal,,Umwana,F,2,infant,False,alive,2700,2022,10,4,wet_short,8.52,11.1,85.6,0,1,1
GHE-20259,G-0104,2022-12-29,Umubano,respiratory,fatal,12,False,False,background_seasonal,,Umwana,F,2,infant,False,alive,2700,2022,12,4,dry_short,6.21,13.1,58.7,1,1,1
GHE-00161,G-0001,2021-01-11,Susa,dermatological,fatal,21,False,True,background_seasonal,,Akagera,M,28,silverback,False,alive,3200,2021,1,1,dry_short,0.4,13.1,69.2,0,1,1
GHE-04755,G-0026,2021-02-17,Susa,respiratory,fatal,7,False,True,tourism_linked,2021-02-03,Inkumbuzi,M,2,infant,False,unknown,3200,2021,2,1,dry_short,1.61,11.2,66.1,1,1,1
GHE-04766,G-0026,2021-04-09,Susa,respiratory,fatal,7,False,True,maternal_intragroup,,Inkumbuzi,M,2,infant,False,unknown,3200,2021,4,2,wet_long,7.96,10.1,79.9,1,1,1
GHE-04783,G-0026,2021-07-08,Susa,respiratory,fatal,17,False,True,tourism_linked,2021-07-04,Inkumbuzi,M,2,infant,False,unknown,3200,2021,7,3,dry_long,0.03,13.5,59.0,1,1,1
