date,year,month,day_of_year,season,rainfall_mm,temp_max_c,temp_min_c,temp_mean_c,humidity_pct
2015-04-12,2015,4,102,wet_long,7.61,12.5,4.2,8.3,89.3
2015-04-13,2015,4,103,wet_long,27.92,10.2,7.2,8.7,79.7
2015-04-14,2015,4,104,wet_long,5.07,13.1,5.6,9.3,93.0
2015-04-15,2015,4,105,wet_long,7.65,13.7,9.0,11.3,81.4
2015-04-16,2015,4,106,wet_long,3.07,14.4,7.1,10.8,79.8
2015-04-17,2015,4,107,wet_long,7.62,13.5,7.8,10.6,82.1
2015-04-18,2015,4,108,wet_long,2.01,14.7,7.2,11.0,81.6
2015-04-19,2015,4,109,wet_long,16.09,14.3,5.9,10.1,79.6
2015-04-20,2015,4,110,wet_long,9.8,13.3,6.6,10.0,86.3
2015-04-21,2015,4,111,wet_long,0.2,14.3,4.4,9.4,80.7
2015-04-22,2015,4,112,wet_long,9.3,14.0,6.7,10.4,75.3
2015-04-23,2015,4,113,wet_long,9.9,12.4,5.4,8.9,79.4
2015-04-24,2015,4,114,wet_long,2.55,10.4,4.7,7.6,79.5
2015-04-25,2015,4,115,wet_long,19.18,14.3,6.3,10.3,76.8
2015-04-26,2015,4,116,wet_long,10.9,14.9,4.9,9.9,81.1
2015-04-27,2015,4,117,wet_long,1.18,16.6,6.0,11.3,75.5
2015-04-28,2015,4,118,wet_long,12.7,13.1,7.2,10.1,87.9
2015-04-29,2015,4,119,wet_long,12.4,15.9,8.4,12.2,70.7
2015-04-30,2015,4,120,wet_long,8.35,13.7,5.7,9.7,81.0
2015-05-01,2015,5,121,wet_long,11.15,17.0,6.5,11.8,82.5
2015-05-02,2015,5,122,wet_long,20.97,14.2,7.2,10.7,83.9
2015-05-03,2015,5,123,wet_long,6.69,15.1,5.3,10.2,87.2
2015-05-04,2015,5,124,wet_long,11.97,14.5,7.8,11.1,83.7
2015-05-05,2015,5,125,wet_long,10.83,13.7,7.1,10.4,71.7
2015-05-06,2015,5,126,wet_long,1.47,14.9,7.3,11.1,90.2
2015-05-07,2015,5,127,wet_long,7.35,13.5,9.4,11.4,91.7
2015-05-08,2015,5,128,wet_long,6.53,14.4,5.5,9.9,73.8
2015-05-09,2015,5,129,wet_long,17.37,13.8,5.8,9.8,80.3
2015-05-10,2015,5,130,wet_long,13.4,14.0,7.0,10.5,75.8
2015-05-11,2015,5,131,wet_long,0.88,15.9,6.2,11.0,84.8
2015-05-12,2015,5,132,wet_long,14.86,11.9,7.0,9.4,85.8
2015-05-13,2015,5,133,wet_long,5.22,12.1,7.1,9.6,87.2
2015-05-14,2015,5,134,wet_long,23.44,16.4,8.9,12.6,84.1
2015-05-15,2015,5,135,wet_long,8.45,15.4,6.8,11.1,81.6
2015-05-16,2015,5,136,wet_long,13.61,13.1,6.2,9.7,84.0
2015-05-17,2015,5,137,wet_long,15.12,15.2,6.3,10.7,74.6
2015-05-18,2015,5,138,wet_long,0.5,16.4,6.1,11.2,75.9
2015-05-19,2015,5,139,wet_long,5.01,14.3,6.4,10.3,84.0
2015-05-20,2015,5,140,wet_long,13.4,14.7,7.2,10.9,79.8
2015-05-21,2015,5,141,wet_long,7.33,10.9,6.7,8.8,89.1
2015-05-22,2015,5,142,wet_long,11.91,14.5,6.1,10.3,82.0
2015-05-23,2015,5,143,wet_long,15.76,15.7,6.0,10.9,76.3
2015-05-24,2015,5,144,wet_long,8.2,15.7,7.5,11.6,76.8
2015-05-25,2015,5,145,wet_long,2.1,13.4,7.4,10.4,74.5
2015-05-26,2015,5,146,wet_long,48.6,13.9,6.8,10.4,90.8
2015-05-27,2015,5,147,wet_long,8.34,14.4,7.2,10.8,81.1
2015-05-28,2015,5,148,wet_long,20.45,16.4,6.2,11.3,81.6
2015-05-29,2015,5,149,wet_long,25.74,12.6,7.2,9.9,80.8
2015-05-30,2015,5,150,wet_long,0.58,12.5,6.4,9.5,83.4
2015-05-31,2015,5,151,wet_long,3.63,16.2,10.1,13.1,83.5
2015-06-01,2015,6,152,dry_long,1.11,17.3,10.5,13.9,55.6
2015-06-02,2015,6,153,dry_long,1.95,15.4,8.1,11.8,54.4
2015-06-03,2015,6,154,dry_long,1.25,17.5,11.0,14.2,65.4
2015-06-04,2015,6,155,dry_long,2.55,19.9,10.6,15.2,64.8
2015-06-05,2015,6,156,dry_long,1.74,18.4,10.7,14.6,62.2
2015-06-06,2015,6,157,dry_long,3.28,15.5,9.0,12.3,66.9
2015-06-07,2015,6,158,dry_long,0.79,17.1,8.6,12.9,58.5
2015-06-08,2015,6,159,dry_long,1.48,19.2,9.6,14.4,60.7
2015-06-09,2015,6,160,dry_long,0.8,17.5,9.1,13.3,56.4
2015-06-10,2015,6,161,dry_long,0.79,20.2,9.9,15.0,52.6
2015-06-11,2015,6,162,dry_long,3.47,17.1,9.2,13.1,65.7
2015-06-12,2015,6,163,dry_long,0.94,17.6,10.0,13.8,68.3
2015-06-13,2015,6,164,dry_long,0.54,14.0,7.6,10.8,62.1
2015-06-14,2015,6,165,dry_long,2.64,18.2,9.5,13.9,59.1
2015-06-15,2015,6,166,dry_long,0.53,18.9,10.3,14.6,58.7
2015-06-16,2015,6,167,dry_long,0.0,17.5,11.8,14.6,50.9
2015-06-17,2015,6,168,dry_long,0.1,17.0,9.7,13.3,52.8
2015-06-18,2015,6,169,dry_long,0.64,21.2,12.2,16.7,51.1
2015-06-19,2015,6,170,dry_long,0.28,14.6,9.9,12.2,48.4
2015-06-20,2015,6,171,dry_long,1.51,16.4,10.2,13.3,50.1
2015-06-21,2015,6,172,dry_long,1.92,18.8,9.0,13.9,49.7
2015-06-22,2015,6,173,dry_long,1.89,17.0,10.4,13.7,67.2
2015-06-23,2015,6,174,dry_long,2.12,19.0,9.7,14.4,69.8
2015-06-24,2015,6,175,dry_long,3.74,15.7,8.9,12.3,50.1
2015-06-25,2015,6,176,dry_long,0.93,16.8,10.5,13.6,54.0
2015-06-26,2015,6,177,dry_long,6.24,16.4,8.9,12.7,63.3
2015-06-27,2015,6,178,dry_long,0.43,16.8,9.8,13.3,49.7
2015-06-28,2015,6,179,dry_long,0.19,14.8,7.3,11.0,57.7
2015-06-29,2015,6,180,dry_long,2.18,19.4,10.5,15.0,61.1
2015-06-30,2015,6,181,dry_long,1.8,18.6,9.3,14.0,54.7
2015-07-01,2015,7,182,dry_long,1.14,15.8,8.6,12.2,53.2
2015-07-02,2015,7,183,dry_long,1.89,17.5,10.7,14.1,65.7
2015-07-03,2015,7,184,dry_long,0.55,16.0,12.0,14.0,58.4
2015-07-04,2015,7,185,dry_long,0.86,16.9,7.8,12.4,63.8
2015-07-05,2015,7,186,dry_long,1.42,19.8,9.0,14.4,54.2
2015-07-06,2015,7,187,dry_long,4.45,18.7,10.0,14.3,64.0
2015-07-07,2015,7,188,dry_long,0.62,17.6,11.0,14.3,57.3
2015-07-08,2015,7,189,dry_long,1.95,16.2,10.8,13.5,67.2
2015-07-09,2015,7,190,dry_long,1.51,19.7,9.6,14.6,58.1
2015-07-10,2015,7,191,dry_long,1.5,16.6,11.9,14.3,65.2
2015-07-11,2015,7,192,dry_long,2.21,14.2,7.6,10.9,59.5
2015-07-12,2015,7,193,dry_long,5.27,15.5,10.0,12.7,59.0
2015-07-13,2015,7,194,dry_long,0.01,16.8,9.5,13.2,63.1
2015-07-14,2015,7,195,dry_long,0.21,15.1,9.2,12.2,58.3
2015-07-15,2015,7,196,dry_long,2.13,14.4,10.7,12.6,43.1
2015-07-16,2015,7,197,dry_long,0.2,16.0,11.5,13.7,53.9
2015-07-17,2015,7,198,dry_long,4.74,18.1,10.7,14.4,60.3
2015-07-18,2015,7,199,dry_long,0.4,15.3,11.4,13.4,57.9
2015-07-19,2015,7,200,dry_long,2.54,15.2,10.3,12.7,48.5
2015-07-20,2015,7,201,dry_long,0.04,17.3,10.9,14.1,63.3
2015-07-21,2015,7,202,dry_long,4.81,17.9,10.5,14.2,61.9
2015-07-22,2015,7,203,dry_long,0.38,21.6,9.7,15.7,60.6
2015-07-23,2015,7,204,dry_long,6.34,16.7,8.8,12.7,53.6
2015-07-24,2015,7,205,dry_long,0.78,18.9,9.9,14.4,50.2
2015-07-25,2015,7,206,dry_long,1.65,18.0,12.3,15.2,55.0
2015-07-26,2015,7,207,dry_long,0.67,16.9,9.7,13.3,47.6
2015-07-27,2015,7,208,dry_long,1.52,18.8,9.5,14.2,66.0
2015-07-28,2015,7,209,dry_long,1.56,19.4,11.2,15.3,57.9
2015-07-29,2015,7,210,dry_long,1.25,18.0,10.7,14.4,66.8
2015-07-30,2015,7,211,dry_long,0.72,19.3,6.6,12.9,47.5
2015-07-31,2015,7,212,dry_long,0.24,17.6,11.5,14.6,52.5
2015-08-01,2015,8,213,dry_long,0.54,16.5,11.8,14.1,46.8
2015-08-02,2015,8,214,dry_long,0.85,20.3,10.7,15.5,49.5
2015-08-03,2015,8,215,dry_long,0.83,19.3,9.6,14.4,54.5
2015-08-04,2015,8,216,dry_long,1.95,18.5,10.3,14.4,61.1
2015-08-05,2015,8,217,dry_long,3.44,16.9,12.7,14.8,71.4
2015-08-06,2015,8,218,dry_long,1.07,19.0,11.2,15.1,56.7
2015-08-07,2015,8,219,dry_long,1.26,18.1,11.7,14.9,62.9
2015-08-08,2015,8,220,dry_long,2.11,18.9,10.8,14.8,52.4
2015-08-09,2015,8,221,dry_long,1.33,16.2,8.0,12.1,55.4
2015-08-10,2015,8,222,dry_long,2.86,13.1,8.5,10.8,60.2
2015-08-11,2015,8,223,dry_long,0.89,15.4,11.7,13.6,72.0
2015-08-12,2015,8,224,dry_long,0.51,19.8,9.6,14.7,61.1
2015-08-13,2015,8,225,dry_long,3.69,17.3,9.5,13.4,71.8
2015-08-14,2015,8,226,dry_long,1.49,17.6,12.1,14.9,53.7
2015-08-15,2015,8,227,dry_long,2.58,16.2,10.6,13.4,50.3
2015-08-16,2015,8,228,dry_long,0.05,15.5,8.3,11.9,64.8
2015-08-17,2015,8,229,dry_long,0.84,17.5,7.3,12.4,70.6
2015-08-18,2015,8,230,dry_long,4.35,15.3,9.5,12.4,61.4
2015-08-19,2015,8,231,dry_long,2.17,17.7,10.4,14.0,63.3
2015-08-20,2015,8,232,dry_long,1.25,15.4,10.4,12.9,57.9
2015-08-21,2015,8,233,dry_long,0.69,16.6,8.7,12.6,59.9
2015-08-22,2015,8,234,dry_long,0.2,15.8,10.9,13.3,54.3
2015-08-23,2015,8,235,dry_long,0.82,19.5,10.4,14.9,45.4
2015-08-24,2015,8,236,dry_long,1.19,17.4,12.4,14.9,61.3
2015-08-25,2015,8,237,dry_long,0.07,18.8,7.6,13.2,53.7
2015-08-26,2015,8,238,dry_long,0.84,19.5,9.6,14.5,64.5
2015-08-27,2015,8,239,dry_long,0.01,19.3,9.8,14.5,61.3
2015-08-28,2015,8,240,dry_long,0.21,18.0,11.2,14.6,52.2
2015-08-29,2015,8,241,dry_long,0.31,18.6,8.0,13.3,56.4
2015-08-30,2015,8,242,dry_long,0.93,18.8,10.3,14.5,56.6
2015-08-31,2015,8,243,dry_long,1.79,14.8,9.0,11.9,48.6
2015-09-01,2015,9,244,dry_long,0.68,16.4,9.3,12.9,54.2
2015-09-02,2015,9,245,dry_long,2.23,16.4,10.9,13.7,55.6
2015-09-03,2015,9,246,dry_long,0.21,17.7,9.0,13.4,54.2
2015-09-04,2015,9,247,dry_long,2.09,15.8,10.2,13.0,58.2
2015-09-05,2015,9,248,dry_long,1.03,17.2,10.4,13.8,50.4
2015-09-06,2015,9,249,dry_long,0.01,17.5,11.2,14.4,65.1
2015-09-07,2015,9,250,dry_long,0.44,17.3,10.7,14.0,48.3
2015-09-08,2015,9,251,dry_long,0.28,14.0,11.1,12.6,49.7
2015-09-09,2015,9,252,dry_long,0.42,15.4,9.8,12.6,60.7
2015-09-10,2015,9,253,dry_long,3.99,18.0,10.3,14.1,57.7
2015-09-11,2015,9,254,dry_long,0.12,19.2,11.5,15.4,66.1
2015-09-12,2015,9,255,dry_long,0.82,18.3,10.2,14.2,59.7
2015-09-13,2015,9,256,dry_long,1.13,17.1,9.9,13.5,61.2
2015-09-14,2015,9,257,dry_long,1.45,21.9,7.9,14.9,61.5
2015-09-15,2015,9,258,dry_long,2.98,17.6,10.9,14.2,64.8
2015-09-16,2015,9,259,dry_long,1.52,14.0,11.9,12.9,50.7
2015-09-17,2015,9,260,dry_long,1.02,16.3,10.2,13.2,64.5
2015-09-18,2015,9,261,dry_long,1.05,14.9,11.2,13.0,49.2
2015-09-19,2015,9,262,dry_long,1.95,18.3,7.1,12.7,58.3
2015-09-20,2015,9,263,dry_long,0.85,17.3,11.4,14.4,55.0
2015-09-21,2015,9,264,dry_long,0.67,19.4,10.6,15.0,48.6
2015-09-22,2015,9,265,dry_long,2.13,18.1,7.9,13.0,72.3
2015-09-23,2015,9,266,dry_long,0.44,15.8,9.9,12.9,58.0
2015-09-24,2015,9,267,dry_long,0.94,17.9,9.2,13.5,58.8
2015-09-25,2015,9,268,dry_long,0.08,18.2,9.7,14.0,60.2
2015-09-26,2015,9,269,dry_long,0.1,16.4,9.7,13.0,54.8
2015-09-27,2015,9,270,dry_long,1.93,19.3,9.2,14.3,59.5
2015-09-28,2015,9,271,dry_long,0.55,17.3,11.0,14.2,57.1
2015-09-29,2015,9,272,dry_long,0.18,15.4,9.4,12.4,55.2
2015-09-30,2015,9,273,dry_long,1.28,21.1,7.9,14.5,55.0
2015-10-01,2015,10,274,wet_short,5.75,15.3,4.8,10.1,72.3
2015-10-02,2015,10,275,wet_short,3.76,15.5,8.8,12.2,61.3
2015-10-03,2015,10,276,wet_short,1.17,16.1,7.5,11.8,71.5
2015-10-04,2015,10,277,wet_short,0.64,14.3,8.3,11.3,66.6
2015-10-05,2015,10,278,wet_short,12.46,14.1,9.9,12.0,69.4
2015-10-06,2015,10,279,wet_short,4.69,14.3,7.7,11.0,74.8
2015-10-07,2015,10,280,wet_short,2.44,14.8,5.9,10.3,66.8
2015-10-08,2015,10,281,wet_short,5.07,14.8,6.6,10.7,83.9
2015-10-09,2015,10,282,wet_short,8.6,15.9,6.0,10.9,71.5
2015-10-10,2015,10,283,wet_short,10.36,15.6,7.0,11.3,71.3
2015-10-11,2015,10,284,wet_short,12.2,14.1,6.9,10.5,85.3
2015-10-12,2015,10,285,wet_short,4.86,18.5,6.4,12.4,70.3
2015-10-13,2015,10,286,wet_short,1.09,14.2,6.3,10.2,67.7
2015-10-14,2015,10,287,wet_short,36.38,16.4,6.5,11.4,73.1
2015-10-15,2015,10,288,wet_short,0.69,14.4,7.7,11.1,81.7
2015-10-16,2015,10,289,wet_short,5.61,15.5,6.0,10.8,83.8
2015-10-17,2015,10,290,wet_short,8.72,16.3,7.7,12.0,81.7
2015-10-18,2015,10,291,wet_short,11.43,12.7,8.0,10.3,75.0
2015-10-19,2015,10,292,wet_short,0.17,15.5,7.2,11.4,73.0
2015-10-20,2015,10,293,wet_short,2.68,14.9,6.9,10.9,77.7
2015-10-21,2015,10,294,wet_short,4.97,14.6,7.1,10.9,77.9
2015-10-22,2015,10,295,wet_short,0.11,15.1,7.6,11.4,75.0
2015-10-23,2015,10,296,wet_short,8.55,15.4,7.0,11.2,77.9
2015-10-24,2015,10,297,wet_short,9.35,14.7,5.1,9.9,78.9
2015-10-25,2015,10,298,wet_short,10.09,13.8,8.4,11.1,69.7
2015-10-26,2015,10,299,wet_short,4.79,14.8,8.5,11.6,77.5
2015-10-27,2015,10,300,wet_short,5.66,16.0,7.7,11.8,83.9
2015-10-28,2015,10,301,wet_short,4.56,13.7,6.9,10.3,66.0
2015-10-29,2015,10,302,wet_short,4.67,13.1,5.2,9.1,72.7
2015-10-30,2015,10,303,wet_short,5.72,16.1,6.8,11.5,79.0
2015-10-31,2015,10,304,wet_short,3.74,15.8,6.8,11.3,77.4
2015-11-01,2015,11,305,wet_short,1.03,13.0,8.4,10.7,81.1
2015-11-02,2015,11,306,wet_short,3.57,15.5,7.8,11.7,72.8
2015-11-03,2015,11,307,wet_short,2.3,15.5,8.6,12.0,67.8
2015-11-04,2015,11,308,wet_short,9.04,13.5,5.4,9.5,83.6
2015-11-05,2015,11,309,wet_short,15.49,12.7,8.5,10.6,75.6
2015-11-06,2015,11,310,wet_short,1.07,12.1,7.9,10.0,65.6
2015-11-07,2015,11,311,wet_short,1.68,15.9,8.8,12.4,62.1
2015-11-08,2015,11,312,wet_short,0.4,14.7,6.9,10.8,72.3
2015-11-09,2015,11,313,wet_short,11.94,13.5,6.9,10.2,74.2
2015-11-10,2015,11,314,wet_short,4.67,16.0,6.2,11.1,72.2
2015-11-11,2015,11,315,wet_short,7.45,15.8,6.7,11.2,57.5
2015-11-12,2015,11,316,wet_short,2.13,16.9,3.9,10.4,73.1
2015-11-13,2015,11,317,wet_short,11.53,12.9,6.3,9.6,81.8
2015-11-14,2015,11,318,wet_short,2.23,15.0,6.2,10.6,80.2
2015-11-15,2015,11,319,wet_short,2.82,16.2,5.5,10.9,82.8
2015-11-16,2015,11,320,wet_short,4.35,13.1,9.5,11.3,70.9
2015-11-17,2015,11,321,wet_short,4.98,13.9,6.1,10.0,61.9
2015-11-18,2015,11,322,wet_short,1.76,14.5,5.4,10.0,69.8
2015-11-19,2015,11,323,wet_short,5.8,18.1,7.7,12.9,71.1
2015-11-20,2015,11,324,wet_short,10.49,15.4,6.4,10.9,73.3
2015-11-21,2015,11,325,wet_short,2.06,14.2,7.8,11.0,73.6
2015-11-22,2015,11,326,wet_short,5.76,14.0,8.2,11.1,72.4
2015-11-23,2015,11,327,wet_short,3.18,16.3,7.3,11.8,85.2
2015-11-24,2015,11,328,wet_short,0.15,13.1,8.5,10.8,84.5
2015-11-25,2015,11,329,wet_short,2.3,15.8,7.8,11.8,73.5
2015-11-26,2015,11,330,wet_short,5.54,13.9,7.3,10.6,70.2
2015-11-27,2015,11,331,wet_short,7.7,13.1,8.1,10.6,80.8
2015-11-28,2015,11,332,wet_short,6.14,15.2,8.1,11.7,71.8
2015-11-29,2015,11,333,wet_short,1.99,18.4,7.1,12.7,76.5
2015-11-30,2015,11,334,wet_short,4.07,13.0,8.9,11.0,82.1
2015-12-01,2015,12,335,dry_short,10.63,17.7,7.8,12.8,64.9
2015-12-02,2015,12,336,dry_short,2.35,19.2,9.5,14.3,68.5
2015-12-03,2015,12,337,dry_short,0.89,17.5,9.3,13.4,64.6
2015-12-04,2015,12,338,dry_short,4.22,14.8,7.5,11.2,66.2
2015-12-05,2015,12,339,dry_short,1.35,16.1,10.9,13.5,62.6
2015-12-06,2015,12,340,dry_short,1.41,17.0,10.2,13.6,59.0
2015-12-07,2015,12,341,dry_short,4.59,17.2,10.4,13.8,60.4
2015-12-08,2015,12,342,dry_short,4.59,14.7,8.1,11.4,65.6
2015-12-09,2015,12,343,dry_short,0.43,15.1,10.2,12.7,82.1
2015-12-10,2015,12,344,dry_short,1.36,17.3,10.0,13.7,61.4
2015-12-11,2015,12,345,dry_short,10.25,15.2,7.6,11.4,67.3
2015-12-12,2015,12,346,dry_short,5.91,16.3,9.1,12.7,68.2
2015-12-13,2015,12,347,dry_short,0.3,16.5,8.9,12.7,63.4
2015-12-14,2015,12,348,dry_short,2.34,16.9,7.8,12.3,52.1
2015-12-15,2015,12,349,dry_short,3.58,15.4,9.8,12.6,66.0
2015-12-16,2015,12,350,dry_short,2.19,18.3,10.2,14.3,61.2
2015-12-17,2015,12,351,dry_short,4.46,17.5,9.5,13.5,69.9
2015-12-18,2015,12,352,dry_short,5.48,16.9,10.2,13.6,54.2
2015-12-19,2015,12,353,dry_short,0.14,19.1,9.6,14.4,69.6
2015-12-20,2015,12,354,dry_short,8.22,16.4,8.7,12.5,60.2
2015-12-21,2015,12,355,dry_short,3.96,17.1,9.8,13.4,66.2
2015-12-22,2015,12,356,dry_short,2.59,17.5,9.0,13.3,66.3
