event_id,gorilla_id,event_date,group_id,illness_type,severity,days_ill,recovered,veterinary_treated,transmission_source,linked_tourist_visit
GHE-20406,G-0105,2016-10-17,Umubano,respiratory,fatal,17,False,True,background_seasonal,
GHE-04607,G-0026,2018-05-11,Susa,respiratory,fatal,18,False,True,maternal_intragroup,
GHE-04618,G-0026,2018-08-17,Susa,respiratory,fatal,12,False,False,background_seasonal,
GHE-03768,G-0024,2021-04-15,Susa,respiratory,fatal,11,False,True,tourism_linked,2021-04-13
GHE-04636,G-0026,2019-01-23,Susa,respiratory,fatal,21,False,False,tourism_linked,2019-01-21
GHE-20316,G-0105,2015-04-30,Umubano,respiratory,fatal,7,False,True,tourism_linked,2015-04-16
GHE-20329,G-0105,2015-06-15,Umubano,respiratory,fatal,20,False,True,background_seasonal,
GHE-00149,G-0001,2020-07-02,Susa,respiratory,fatal,10,False,True,tourism_linked,2020-06-27
GHE-20353,G-0105,2016-01-02,Umubano,respiratory,fatal,20,False,True,maternal_intragroup,
GHE-20355,G-0105,2016-01-16,Umubano,gastrointestinal,fatal,21,False,False,background_seasonal,
GHE-04668,G-0026,2019-06-12,Susa,respiratory,fatal,7,False,True,background_seasonal,
GHE-04679,G-0026,2019-08-19,Susa,respiratory,fatal,12,False,False,maternal_intragroup,
GHE-03749,G-0024,2020-12-17,Susa,respiratory,fatal,17,False,True,tourism_linked,2020-12-07
GHE-04690,G-0026,2019-11-10,Susa,gastrointestinal,fatal,16,False,True,background_seasonal,
GHE-04692,G-0026,2019-11-14,Susa,respiratory,fatal,16,False,True,maternal_intragroup,
GHE-03729,G-0024,2020-05-08,Susa,respiratory,fatal,17,False,True,tourism_linked,2020-05-01
GHE-04718,G-0026,2020-05-07,Susa,respiratory,fatal,12,False,True,maternal_intragroup,
GHE-04721,G-0026,2020-06-05,Susa,respiratory,fatal,18,False,True,background_seasonal,
GHE-04728,G-0026,2020-08-10,Susa,respiratory,fatal,15,False,True,tourism_linked,2020-07-27
GHE-03724,G-0024,2020-03-30,Susa,respiratory,fatal,11,False,True,maternal_intragroup,
GHE-03726,G-0024,2020-04-05,Susa,respiratory,fatal,20,False,False,maternal_intragroup,
GHE-20248,G-0104,2022-08-23,Umubano,respiratory,fatal,16,False,False,tourism_linked,2022-08-18
GHE-20249,G-0104,2022-10-07,Umubano,other,fatal,6,False,True,background_seasonal,
GHE-20259,G-0104,2022-12-29,Umubano,respiratory,fatal,12,False,False,background_seasonal,
GHE-00161,G-0001,2021-01-11,Susa,dermatological,fatal,21,False,True,background_seasonal,
GHE-04755,G-0026,2021-02-17,Susa,respiratory,fatal,7,False,True,tourism_linked,2021-02-03
GHE-04766,G-0026,2021-04-09,Susa,respiratory,fatal,7,False,True,maternal_intragroup,
GHE-04783,G-0026,2021-07-08,Susa,respiratory,fatal,17,False,True,tourism_linked,2021-07-04
GHE-04786,G-0026,2021-08-25,Susa,respiratory,fatal,9,False,True,background_seasonal,
GHE-04787,G-0026,2021-09-09,Susa,respiratory,fatal,13,False,True,tourism_linked,2021-08-27
GHE-04817,G-0026,2022-04-03,Susa,respiratory,fatal,10,False,False,background_seasonal,
GHE-04822,G-0026,2022-04-11,Susa,respiratory,fatal,8,False,True,background_seasonal,
GHE-04828,G-0026,2022-05-04,Susa,dermatological,fatal,5,False,True,background_seasonal,
GHE-03681,G-0024,2019-04-18,Susa,respiratory,fatal,13,False,True,maternal_intragroup,
GHE-03682,G-0024,2019-04-19,Susa,respiratory,fatal,13,False,False,maternal_intragroup,
GHE-04833,G-0026,2022-05-21,Susa,gastrointestinal,fatal,19,False,True,background_seasonal,
GHE-04841,G-0026,2022-08-22,Susa,respiratory,fatal,11,False,True,tourism_linked,2022-08-09
GHE-04842,G-0026,2022-08-12,Susa,respiratory,fatal,21,False,True,background_seasonal,
GHE-04847,G-0026,2022-09-30,Susa,respiratory,fatal,10,False,True,maternal_intragroup,
GHE-20229,G-0104,2022-04-05,Umubano,respiratory,fatal,19,False,True,maternal_intragroup,
GHE-20237,G-0104,2022-05-23,Umubano,respiratory,fatal,15,False,True,background_seasonal,
GHE-00178,G-0001,2021-10-23,Susa,respiratory,fatal,20,False,True,tourism_linked,2021-10-16
GHE-04870,G-0026,2023-02-15,Susa,respiratory,fatal,18,False,False,background_seasonal,
GHE-04914,G-0026,2023-12-14,Susa,respiratory,fatal,11,False,True,maternal_intragroup,
GHE-04923,G-0027,2015-03-10,Susa,dermatological,fatal,10,False,False,background_seasonal,
GHE-04943,G-0027,2015-07-15,Susa,other,fatal,12,False,True,background_seasonal,
GHE-03656,G-0024,2018-10-30,Susa,respiratory,fatal,6,False,False,background_seasonal,
GHE-04977,G-0027,2016-02-13,Susa,respiratory,fatal,6,False,False,maternal_intragroup,
GHE-04993,G-0027,2016-05-18,Susa,respiratory,fatal,9,False,True,background_seasonal,
GHE-04994,G-0027,2016-05-25,Susa,dermatological,fatal,20,False,True,background_seasonal,
GHE-03644,G-0024,2018-07-21,Susa,dermatological,fatal,19,False,False,background_seasonal,
GHE-03646,G-0024,2018-08-14,Susa,respiratory,fatal,11,False,True,maternal_intragroup,
GHE-05017,G-0027,2016-11-01,Susa,respiratory,fatal,13,False,True,tourism_linked,2016-10-25
GHE-05021,G-0027,2016-11-22,Susa,dermatological,fatal,7,False,False,background_seasonal,
GHE-20176,G-0104,2021-05-28,Umubano,dermatological,fatal,11,False,True,background_seasonal,
GHE-20193,G-0104,2021-10-15,Umubano,respiratory,fatal,19,False,True,maternal_intragroup,
GHE-00196,G-0001,2022-04-15,Susa,respiratory,fatal,16,False,True,background_seasonal,
GHE-05035,G-0027,2017-01-09,Susa,respiratory,fatal,13,False,True,maternal_intragroup,
GHE-05039,G-0027,2017-02-22,Susa,respiratory,fatal,19,False,True,tourism_linked,2017-02-15
GHE-05072,G-0027,2017-08-18,Susa,respiratory,fatal,13,False,True,background_seasonal,
GHE-05094,G-0027,2017-12-22,Susa,respiratory,fatal,12,False,True,maternal_intragroup,
GHE-05097,G-0027,2018-01-04,Susa,respiratory,fatal,10,False,True,maternal_intragroup,
GHE-05116,G-0027,2018-04-09,Susa,respiratory,fatal,19,False,True,background_seasonal,
GHE-03609,G-0024,2018-02-19,Susa,respiratory,fatal,7,False,True,background_seasonal,
GHE-03612,G-0024,2018-02-27,Susa,respiratory,fatal,21,False,False,background_seasonal,
GHE-05127,G-0027,2018-05-22,Susa,injury,fatal,20,False,True,background_seasonal,
GHE-05145,G-0027,2018-10-25,Susa,respiratory,fatal,6,False,True,background_seasonal,
GHE-03585,G-0024,2017-10-26,Susa,respiratory,fatal,8,False,False,background_seasonal,
GHE-03591,G-0024,2017-11-22,Susa,respiratory,fatal,15,False,False,background_seasonal,
GHE-03598,G-0024,2017-12-20,Susa,respiratory,fatal,14,False,True,background_seasonal,
GHE-05157,G-0027,2018-12-26,Susa,respiratory,fatal,5,False,False,background_seasonal,
GHE-05163,G-0027,2019-01-22,Susa,respiratory,fatal,10,False,False,background_seasonal,
GHE-20110,G-0104,2020-04-13,Umubano,respiratory,fatal,7,False,True,background_seasonal,
GHE-20117,G-0104,2020-05-10,Umubano,gastrointestinal,fatal,20,False,True,background_seasonal,
GHE-20144,G-0104,2021-01-11,Umubano,respiratory,fatal,7,False,True,background_seasonal,
GHE-20148,G-0104,2021-02-10,Umubano,respiratory,fatal,19,False,True,tourism_linked,2021-01-28
GHE-00215,G-0001,2023-03-15,Susa,injury,fatal,13,False,True,background_seasonal,
GHE-05170,G-0027,2019-03-23,Susa,respiratory,fatal,20,False,True,maternal_intragroup,
GHE-05200,G-0027,2019-10-02,Susa,gastrointestinal,fatal,8,False,False,background_seasonal,
GHE-05206,G-0027,2019-11-08,Susa,respiratory,fatal,16,False,True,background_seasonal,
GHE-05221,G-0027,2020-02-08,Susa,respiratory,fatal,20,False,False,background_seasonal,
GHE-05237,G-0027,2020-05-09,Susa,respiratory,fatal,15,False,True,maternal_intragroup,
GHE-05254,G-0027,2020-09-04,Susa,dermatological,fatal,21,False,True,background_seasonal,
GHE-05264,G-0027,2020-11-09,Susa,respiratory,fatal,11,False,True,maternal_intragroup,
GHE-05270,G-0027,2021-01-08,Susa,gastrointestinal,fatal,10,False,True,background_seasonal,
GHE-05272,G-0027,2021-02-03,Susa,respiratory,fatal,10,False,False,background_seasonal,
GHE-03566,G-0024,2017-05-21,Susa,respiratory,fatal,20,False,True,background_seasonal,
GHE-20051,G-0104,2019-04-10,Umubano,respiratory,fatal,9,False,False,maternal_intragroup,
GHE-20057,G-0104,2019-05-10,Umubano,respiratory,fatal,5,False,False,background_seasonal,
GHE-20063,G-0104,2019-06-28,Umubano,respiratory,fatal,21,False,False,background_seasonal,
GHE-20086,G-0104,2019-11-18,Umubano,respiratory,fatal,14,False,True,maternal_intragroup,
GHE-00232,G-0001,2023-10-13,Susa,respiratory,fatal,14,False,True,background_seasonal,
GHE-05298,G-0027,2021-05-10,Susa,respiratory,fatal,9,False,True,background_seasonal,
GHE-05304,G-0027,2021-05-30,Susa,respiratory,fatal,15,False,True,tourism_linked,2021-05-28
GHE-03549,G-0024,2016-12-19,Susa,respiratory,fatal,5,False,False,maternal_intragroup,
GHE-05345,G-0027,2022-03-17,Susa,respiratory,fatal,19,False,False,maternal_intragroup,
GHE-05361,G-0027,2022-07-01,Susa,dermatological,fatal,13,False,True,background_seasonal,
GHE-05376,G-0027,2022-10-06,Susa,respiratory,fatal,8,False,True,tourism_linked,2022-10-03
GHE-03525,G-0024,2016-05-27,Susa,respiratory,fatal,7,False,True,background_seasonal,
GHE-03526,G-0024,2016-06-06,Susa,respiratory,fatal,9,False,True,tourism_linked,2016-06-04
GHE-03533,G-0024,2016-09-03,Susa,respiratory,fatal,9,False,True,tourism_linked,2016-08-21
GHE-05386,G-0027,2022-11-19,Susa,respiratory,fatal,18,False,False,background_seasonal,
GHE-20001,G-0104,2018-07-02,Umubano,respiratory,fatal,7,False,True,maternal_intragroup,
GHE-00243,G-0002,2015-07-27,Susa,respiratory,fatal,20,False,True,tourism_linked,2015-07-18
GHE-20040,G-0104,2019-02-20,Umubano,respiratory,fatal,19,False,False,maternal_intragroup,
GHE-20041,G-0104,2019-02-28,Umubano,respiratory,fatal,19,False,False,background_seasonal,
GHE-05390,G-0027,2022-12-17,Susa,respiratory,fatal,17,False,False,background_seasonal,
GHE-05392,G-0027,2022-12-26,Susa,respiratory,fatal,17,False,True,maternal_intragroup,
GHE-05414,G-0027,2023-05-05,Susa,respiratory,fatal,13,False,True,background_seasonal,
GHE-05475,G-0028,2015-04-23,Susa,respiratory,fatal,9,False,True,background_seasonal,
GHE-05479,G-0028,2015-05-05,Susa,respiratory,fatal,11,False,False,background_seasonal,
GHE-05497,G-0028,2015-10-04,Susa,respiratory,fatal,19,False,True,maternal_intragroup,
GHE-05498,G-0028,2015-10-14,Susa,respiratory,fatal,20,False,False,maternal_intragroup,
GHE-05501,G-0028,2015-11-11,Susa,respiratory,fatal,14,False,True,background_seasonal,
GHE-05508,G-0028,2016-01-14,Susa,respiratory,fatal,19,False,True,tourism_linked,2016-01-05
GHE-03483,G-0024,2015-06-12,Susa,respiratory,fatal,16,False,True,background_seasonal,
GHE-05530,G-0028,2016-05-23,Susa,respiratory,fatal,9,False,True,background_seasonal,
GHE-05531,G-0028,2016-05-25,Susa,respiratory,fatal,18,False,True,background_seasonal,
GHE-05535,G-0028,2016-07-06,Susa,respiratory,fatal,9,False,True,maternal_intragroup,
GHE-05536,G-0028,2016-07-19,Susa,respiratory,fatal,15,False,True,maternal_intragroup,
GHE-19914,G-0104,2017-02-07,Umubano,respiratory,fatal,12,False,True,background_seasonal,
GHE-19929,G-0104,2017-04-12,Umubano,gastrointestinal,fatal,5,False,True,background_seasonal,
GHE-19935,G-0104,2017-05-16,Umubano,respiratory,fatal,5,False,True,maternal_intragroup,
GHE-19955,G-0104,2017-11-23,Umubano,respiratory,fatal,20,False,True,background_seasonal,
GHE-05547,G-0028,2016-12-30,Susa,respiratory,fatal,12,False,True,maternal_intragroup,
GHE-05573,G-0028,2017-07-07,Susa,respiratory,fatal,6,False,True,tourism_linked,2017-06-29
GHE-03468,G-0024,2015-04-09,Susa,respiratory,fatal,7,False,True,maternal_intragroup,
GHE-03472,G-0024,2015-04-16,Susa,respiratory,fatal,5,False,False,background_seasonal,
GHE-03442,G-0023,2023-10-11,Susa,respiratory,fatal,20,False,True,maternal_intragroup,
GHE-03456,G-0023,2023-12-17,Susa,respiratory,fatal,16,False,True,maternal_intragroup,
GHE-05712,G-0028,2019-10-14,Susa,respiratory,fatal,11,False,True,tourism_linked,2019-10-05
GHE-05713,G-0028,2019-10-08,Susa,respiratory,fatal,8,False,True,background_seasonal,
GHE-05720,G-0028,2019-11-23,Susa,respiratory,fatal,7,False,False,background_seasonal,
GHE-03431,G-0023,2023-07-01,Susa,respiratory,fatal,17,False,True,tourism_linked,2023-06-23
GHE-19856,G-0104,2016-04-06,Umubano,respiratory,fatal,18,False,True,maternal_intragroup,
GHE-19870,G-0104,2016-05-27,Umubano,respiratory,fatal,14,False,True,background_seasonal,
GHE-19887,G-0104,2016-10-14,Umubano,gastrointestinal,fatal,17,False,True,background_seasonal,
GHE-19905,G-0104,2016-12-27,Umubano,respiratory,fatal,17,False,True,background_seasonal,
GHE-19912,G-0104,2017-02-06,Umubano,respiratory,fatal,16,False,True,maternal_intragroup,
GHE-05739,G-0028,2020-04-02,Susa,respiratory,fatal,21,False,True,background_seasonal,
GHE-05740,G-0028,2020-04-06,Susa,respiratory,fatal,19,False,True,maternal_intragroup,
GHE-05764,G-0028,2020-07-25,Susa,respiratory,fatal,12,False,True,tourism_linked,2020-07-21
GHE-05777,G-0028,2021-01-12,Susa,gastrointestinal,fatal,13,False,True,background_seasonal,
GHE-05783,G-0028,2021-02-25,Susa,injury,fatal,5,False,True,background_seasonal,
GHE-03419,G-0023,2023-04-02,Susa,respiratory,fatal,21,False,True,background_seasonal,
GHE-05820,G-0028,2021-11-19,Susa,respiratory,fatal,14,False,True,tourism_linked,2021-11-12
GHE-05841,G-0028,2022-03-30,Susa,respiratory,fatal,7,False,True,maternal_intragroup,
GHE-05863,G-0028,2022-08-01,Susa,respiratory,fatal,8,False,True,background_seasonal,
GHE-05871,G-0028,2022-11-02,Susa,respiratory,fatal,17,False,False,tourism_linked,2022-10-28
GHE-19812,G-0104,2015-05-10,Umubano,respiratory,fatal,6,False,False,background_seasonal,
GHE-19819,G-0104,2015-06-20,Umubano,respiratory,fatal,13,False,True,background_seasonal,
GHE-19825,G-0104,2015-07-30,Umubano,respiratory,fatal,16,False,False,maternal_intragroup,
GHE-19830,G-0104,2015-10-09,Umubano,respiratory,fatal,19,False,False,maternal_intragroup,
GHE-19837,G-0104,2015-11-29,Umubano,respiratory,fatal,17,False,True,maternal_intragroup,
GHE-19845,G-0104,2016-02-20,Umubano,respiratory,fatal,16,False,True,tourism_linked,2016-02-14
GHE-05886,G-0028,2022-12-31,Susa,respiratory,fatal,12,False,True,maternal_intragroup,
GHE-05903,G-0028,2023-04-14,Susa,respiratory,fatal,15,False,False,tourism_linked,2023-04-06
GHE-03378,G-0023,2022-06-25,Susa,respiratory,fatal,14,False,True,background_seasonal,
GHE-03387,G-0023,2022-08-15,Susa,respiratory,fatal,14,False,True,tourism_linked,2022-08-09
GHE-05907,G-0028,2023-04-30,Susa,respiratory,fatal,18,False,False,background_seasonal,
GHE-05909,G-0028,2023-05-09,Susa,respiratory,fatal,7,False,False,maternal_intragroup,
GHE-05913,G-0028,2023-05-20,Susa,respiratory,fatal,16,False,True,background_seasonal,
GHE-05949,G-0029,2015-04-02,Pablo,respiratory,fatal,12,False,True,background_seasonal,
GHE-05960,G-0029,2015-11-05,Pablo,respiratory,fatal,16,False,True,background_seasonal,
GHE-19761,G-0103,2023-04-13,Umubano,respiratory,fatal,15,False,True,background_seasonal,
GHE-19767,G-0103,2023-05-21,Umubano,respiratory,fatal,12,False,False,background_seasonal,
GHE-19776,G-0103,2023-09-24,Umubano,respiratory,fatal,13,False,True,background_seasonal,
GHE-19788,G-0103,2023-12-25,Umubano,injury,fatal,13,False,True,background_seasonal,
GHE-19798,G-0104,2015-03-06,Umubano,respiratory,fatal,20,False,False,background_seasonal,
GHE-19801,G-0104,2015-03-29,Umubano,respiratory,fatal,11,False,True,background_seasonal,
GHE-00320,G-0002,2022-07-02,Susa,respiratory,fatal,5,False,True,tourism_linked,2022-06-30
GHE-06006,G-0029,2017-06-09,Pablo,respiratory,fatal,6,False,False,tourism_linked,2017-06-07
GHE-03345,G-0023,2021-12-31,Susa,respiratory,fatal,14,False,True,background_seasonal,
GHE-06027,G-0029,2018-05-03,Pablo,respiratory,fatal,11,False,False,background_seasonal,
GHE-06062,G-0029,2020-03-31,Pablo,respiratory,fatal,17,False,True,tourism_linked,2020-03-29
GHE-03332,G-0023,2021-08-20,Susa,respiratory,fatal,8,False,False,tourism_linked,2021-08-17
GHE-03333,G-0023,2021-09-04,Susa,other,fatal,14,False,False,background_seasonal,
GHE-03334,G-0023,2021-09-18,Susa,respiratory,fatal,16,False,False,background_seasonal,
GHE-03335,G-0023,2021-09-20,Susa,respiratory,fatal,14,False,False,maternal_intragroup,
